"name","address","latitude","longitude","link","price","health_color","special_diet"
"Abby Lane","255 Tremont St",42.350268,-71.065179,"/restaurants/abby-lane/","$$$$","red","  "
"ABC Pizza House","744 Massachusetts Ave",42.366351,-71.105515,"/restaurants/abc-pizza-house/","$","red","  "
"Abe & Louie's Steakhouse","793 Boylston St",42.348934,-71.08186,"/restaurants/abe-louies-steakhouse/","$$$$$","yellow","  "
"Abigail's","291 3rd St",42.365464,-71.082763,"/restaurants/abigails/","$$$$","yellow","  "
"Acapulco","464 Centre St",42.319278,-71.111727,"/restaurants/acapulco/","$$$","yellow","  "
"Aceituna Cafe","605 W Kendall St",42.364252,-71.081731,"/restaurants/aceituna-cafe/","$$","yellow","  "
"Addis Red Sea","544 Tremont St",42.344149,-71.071467,"/restaurants/addis-red-sea-2/","$$","yellow","  "
"Aguacate Verde","13 Elm St",42.386158,-71.113831,"/restaurants/aguacate-verde/","$","green"," vegetarian-friendly "
"AK'S Takeout","1427 Tremont St",42.331608,-71.096443,"/restaurants/aks-takeout/","$$","yellow","  "
"Akai Ryu Shabu & Sushi","1 Porter Sq",42.388704,-71.118486,"/restaurants/akai-ryu-shabu-sushi/","$$","yellow","  "
"Al Capone","82 Summer St",42.353838,-71.058505,"/restaurants/al-capone/","$","yellow","  "
"Al Dente Ristorante","109 Salem St",42.364261,-71.05553,"/restaurants/al-dente-ristorante/","$$$","yellow","  "
"Al's Deli","172 Brighton Ave",42.352993,-71.133015,"/restaurants/als-deli/","$","green","  "
"Al's Harvard Square Cafe","1350 Massachusetts Ave",42.373049,-71.118499,"/restaurants/als-harvard-square-cafe/","$","green","  "
"Al's South Street Cafe","179 Essex St",42.352368,-71.059544,"/restaurants/als-south-street-cafe/","$","green","  "
"Al's State Street Cafe","112 State St",42.359176,-71.054836,"/restaurants/als-state-street-cafe/","$","green","  "
"Alden & Harlow","40 Brattle St",42.37361,-71.12121,"/restaurants/alden-harlow/","$$$","yellow","  "
"Alex Pizza & Grill","1252\u002D54 Washington St",42.342398,-71.067412,"/restaurants/alex-pizza-grill/","$$","red","  "
"Alex's Chimis","358 Centre St",42.322354,-71.107925,"/restaurants/alexs-chimis/","$","yellow","  "
"Alfredo's","229 Brighton Ave",42.353397,-71.136097,"/restaurants/alfredos/","$$","green","  "
"Alfredo's Italian Kitchen","691 Cambridge St",42.372233,-71.088102,"/restaurants/alfredos-italian-kitchen/","$$$","yellow","  "
"Algiers Coffee House","40 Brattle St",42.373784,-71.121363,"/restaurants/algiers-coffee-house/","$$$","yellow","  "
"Ali Baba","145 E Berkeley St",42.343613,-71.064816,"/restaurants/ali-baba/","$$","yellow","  "
"Alibi","215 Charles St",42.361748,-71.071005,"/restaurants/alibi/","$$","yellow","  "
"Alive & Kicking","269 Putnam Ave",42.362842,-71.113851,"/restaurants/alive-kicking/","$$$","red","  "
"All Star Pizza Bar","1238 Cambridge St",42.37326,-71.098057,"/restaurants/all-star-pizza-bar/","$$","yellow","  "
"All Star Sandwich Bar","1245 Cambridge St",42.373428,-71.098552,"/restaurants/all-star-sandwich-bar/","$$","green","  "
"Allston Diner","431 Cambridge St",42.354794,-71.134731,"/restaurants/allston-diner/","$$","green","vegan vegetarian-friendly "
"Allston Village Pizza & Grill","2 Brighton Ave",42.352179,-71.125167,"/restaurants/allston-village-pizza-grill/","$","yellow","  "
"Aman Palace","63 Union Sq",42.379827,-71.095422,"/restaurants/aman-palace/","$$","green"," vegetarian-friendly "
"Amelia's Taqueria","309 Huntington Ave",42.341203,-71.087463,"/restaurants/amelias-taqueria-2/","$$","yellow","  "
"Amelia's Taqueria","180 Brighton Ave",42.353057,-71.13364,"/restaurants/amelias-taqueria/","$","yellow","  "
"Amelia's Trattoria","111 Harvard St",42.365022,-71.093088,"/restaurants/amelias-trattoria/","$$$$","red","  "
"American Bakers' Cafe","39 1st Ave",42.375632,-71.053501,"/restaurants/american-bakers-cafe/","$","green","  "
"Ames Plow Tavern","294 Faneuil Hall Marketplace",42.360669,-71.054463,"/restaurants/ames-plow-tavern/","$$","green","  "
"Ames Street Deli","73 Ames St",42.362512,-71.08819,"/restaurants/ames-street-deli/","$$","green","  "
"Amici","111 N Washington St",42.365596,-71.058129,"/restaurants/amici/","$$","yellow","  "
"Amsterdam Falafelshop","248 Elm St",42.395395,-71.121898,"/restaurants/amsterdam-falafelshop/","$","green"," vegetarian-friendly "
"An Tain","31 India St",42.358411,-71.053259,"/restaurants/an-tain/","$$","yellow","  "
"Anchovies","433 Columbus Ave",42.343822,-71.077945,"/restaurants/anchovies/","$$$","red","  "
"Andala Coffee House","286 Franklin St",42.364897,-71.105996,"/restaurants/andala-coffee-house/","$","yellow","  "
"Andalus Pizza & Cafe","153 Sutherland Rd",42.340702,-71.1476,"/restaurants/andalus-pizza-cafe/","$$","green","  "
"Andre's Cafe","811 Harrison Ave",42.335825,-71.074148,"/restaurants/andres-cafe/","$$","green","  "
"Andy's Diner","2030 Massachusetts Ave",42.390774,-71.121964,"/restaurants/andys-diner/","$$","green","  "
"Angela's Cafe","131 Lexington St",42.378829,-71.034967,"/restaurants/angelas-cafe/","$$$","yellow","  "
"Angelina's Pizzeria","230 Holland St",42.402443,-71.12699,"/restaurants/angelinas-pizzeria/","$$","red","  "
"Angelo's Pizza","444 Broadway",42.373168,-71.110805,"/restaurants/angelos-pizza/","$","yellow","  "
"Angora Cafe","1024 Commonwealth Ave",42.351779,-71.121562,"/restaurants/angora-cafe/","$$","yellow","  "
"Angora Ice","3\u002DA Boylston St",42.322136,-71.169499,"/restaurants/angora-ice/","$","yellow","  "
"Anna's Taqueria","1412 Beacon St",42.341222,-71.125714,"/restaurants/annas-taqueria-2/","$","red","  "
"Anna's Taqueria","822 Somerville Ave",42.388054,-71.118113,"/restaurants/annas-taqueria/","$","red","  "
"Anna's Taqueria","446 Harvard St",42.34624,-71.12824,"/restaurants/annas-taqueria-3/","$","red","  "
"Anna's Taqueria","84 Massachusetts Ave",42.359226,-71.094084,"/restaurants/annas-taqueria-4/","$","red","  "
"Anna's Taqueria","242 Cambridge St",42.361287,-71.067235,"/restaurants/annas-taqueria-5/","$","red","  "
"Anna's Taqueria","236 Elm St",42.394956,-71.121736,"/restaurants/annas-taqueria-6/","$","red","  "
"Anthem","101 S Market St",42.359898,-71.055498,"/restaurants/anthem/","$$$$","red","  "
"Anthony's at Adams Village","789 Adams St",42.283247,-71.05595,"/restaurants/anthonys-at-adams-village/","$","yellow","  "
"Anthony's Cafe","252 Commercial St",42.364051,-71.051302,"/restaurants/anthonys-cafe/","$","green","  "
"Antico Forno","93 Salem St",42.363979,-71.05595,"/restaurants/antico-forno/","$$$$","yellow","  "
"Antonio's","288 Cambridge St",42.36128,-71.068686,"/restaurants/antonios/","$$$","green","  "
"Anytime Pizza","212 Western Ave",42.36474,-71.110738,"/restaurants/anytime-pizza/","$$$","yellow","  "
"Appleton Cafe","123 Appleton St",42.3451,-71.07486,"/restaurants/appleton-cafe/","$","green","  "
"Apropos","39 Dalton St",42.346697,-71.084995,"/restaurants/apropos/","$$$$","yellow","  "
"Aquitaine","569 Tremont St",42.343464,-71.072559,"/restaurants/aquitaine/","$$$$","yellow","  "
"Aquitaine Bis","11 Boylston St",42.326237,-71.142633,"/restaurants/aquitaine-bis/","$$$$$","yellow","  "
"Aragosta Bar + Bistro","3 Battery Wharf",42.366661,-71.051091,"/restaurants/aragosta-bar-bistro/","$$$$$","yellow","  "
"Aram's No 2 Pizza & Subs","345 Cambridge St",42.371251,-71.081988,"/restaurants/arams-no-2-pizza-subs/","$$","red","  "
"Arc","835 Beacon St",42.347181,-71.103034,"/restaurants/arc/","$$$","yellow","  "
"Archie's New York Deli","101 Arch St",42.354923,-71.058756,"/restaurants/archies-new-york-deli/","$","green","  "
"Archie's Place","245 Washington St",42.35772,-71.058046,"/restaurants/archies-place/","$$","yellow","  "
"Area Four","500 Technology Sq",42.363443,-71.092379,"/restaurants/area-four/","$$$","yellow","  "
"Aria Trattoria","253 Hanover St",42.363297,-71.054943,"/restaurants/aria-trattoria/","$$$$$","red","  "
"Ariana Restaurant","129 Brighton Ave",42.352978,-71.131314,"/restaurants/ariana-restaurant/","$$$","yellow","  "
"Armando's Pizza","163 Huron Ave",42.382223,-71.13137,"/restaurants/armandos-pizza/","$","yellow","  "
"ArtBar","40 Edwin Land Blvd",42.366889,-71.07485,"/restaurants/artbar/","$$$$","yellow","  "
"Artisan Bistro","10 Avery St",42.35315,-71.063383,"/restaurants/artisan-bistro/","$$$$","yellow","  "
"Artu","6 Prince St",42.364226,-71.054012,"/restaurants/artu-2/","$$$$","red","  "
"Artu","89 Charles St",42.358757,-71.07103,"/restaurants/artu/","$$$$","red","  "
"Asahi","418 Market St",42.349183,-71.153566,"/restaurants/asahi/","$$$$","yellow","  "
"Asia Wok","44 Harvard Ave",42.354497,-71.132897,"/restaurants/asia-wok/","$$","red","  "
"Asian Garden Restaurant","28 Harrison Ave",42.351899,-71.06122,"/restaurants/asian-garden-restaurant/","$$","red","  "
"Asian House","99 Cambridge St",42.382491,-71.079354,"/restaurants/asian-house/","$$$","yellow","  "
"Asian Noodle Stix","11 Belmont St",42.374958,-71.150695,"/restaurants/asian-noodle-stix/","$","red","  "
"Asmara","739 Massachusetts Ave",42.366258,-71.105353,"/restaurants/asmara/","$$$","yellow","  "
"Assaggio","29 Prince St",42.364636,-71.054667,"/restaurants/assaggio/","$$$","yellow","  "
"Asta","47 Massachusetts Ave",42.349851,-71.089166,"/restaurants/asta/","$$$$$","yellow","  "
"Atasca","50 Hampshire St",42.367037,-71.092856,"/restaurants/atasca/","$$","yellow","  "
"Athan's European Bakery","403 Washington St",42.349097,-71.154997,"/restaurants/athans-european-bakery/","$","green","  "
"Athan's European Bakery","1621 Beacon St",42.339297,-71.135297,"/restaurants/athans-european-bakery-2/","$","green","  "
"Atlantic Beer Garden","146 Northern Ave",42.350535,-71.043242,"/restaurants/atlantic-beer-garden/","$$$","yellow","  "
"Atlantic Fish Company","761 Boylston St",42.34913,-71.081142,"/restaurants/atlantic-fish-company/","$$$$","yellow","  "
"Atomic Bean Cafe","904 Massachusetts Ave",42.368317,-71.108776,"/restaurants/atomic-bean-cafe/","$","yellow","  "
"Atwood's Tavern","877 Cambridge St",42.372557,-71.091716,"/restaurants/atwoods-tavern/","$$$","yellow","  "
"Au Bon Pain","800 Washington St",42.349509,-71.063164,"/restaurants/au-bon-pain-26/","$","green","  gluten-free"
"Au Bon Pain","238 Main St",42.362297,-71.084796,"/restaurants/au-bon-pain-15/","$","green","  gluten-free"
"Au Bon Pain","684 Massachusetts Ave",42.365797,-71.104546,"/restaurants/au-bon-pain-17/","$","green","  gluten-free"
"Au Bon Pain","800 Boylston St",42.348785,-71.082408,"/restaurants/au-bon-pain-3/","$","green","  gluten-free"
"Au Bon Pain","1 Joslin Pl",42.33864,-71.1083,"/restaurants/au-bon-pain-28/","$","green","  gluten-free"
"Au Bon Pain","640 Atlantic Ave",42.352492,-71.055486,"/restaurants/au-bon-pain-25/","$","green","  gluten-free"
"Au Bon Pain","209 Cambridge St",42.36138,-71.066562,"/restaurants/au-bon-pain-29/","$","green","  gluten-free"
"Au Bon Pain","369 Huntington Ave",42.340027,-71.09007,"/restaurants/au-bon-pain-19/","$","green","  gluten-free"
"Au Bon Pain","1100 Massachusetts Ave",42.370467,-71.11374,"/restaurants/au-bon-pain-21/","$","green","  gluten-free"
"Au Bon Pain","101 Merrimac St",42.363853,-71.061701,"/restaurants/au-bon-pain-12/","$","green","  gluten-free"
"Au Bon Pain","18\u002D48 Holland St",42.3975,-71.1235,"/restaurants/au-bon-pain-22/","$","green","  gluten-free"
"Au Bon Pain","75 Francis St",42.338814,-71.116454,"/restaurants/au-bon-pain-13/","$","green","  gluten-free"
"Au Bon Pain","1 Design Center Pl",42.3439,-71.034298,"/restaurants/au-bon-pain-27/","$","green","  gluten-free"
"Au Bon Pain","100 Huntington Ave",42.347148,-71.078376,"/restaurants/au-bon-pain-20/","$","green","  gluten-free"
"Au Bon Pain","300 Longwood Ave",42.337369,-71.10535,"/restaurants/au-bon-pain-23/","$","green","  gluten-free"
"Au Bon Pain","431 Boylston St",42.351299,-71.073043,"/restaurants/au-bon-pain/","$","green","  gluten-free"
"Au Bon Pain","26 Park Plz",42.350897,-71.067829,"/restaurants/au-bon-pain-4/","$","green","  gluten-free"
"Au Bon Pain","47 Commercial St",42.366394,-71.076131,"/restaurants/au-bon-pain-24/","$","green","  gluten-free"
"Au Bon Pain","340 Longwood Ave",42.338171,-71.106228,"/restaurants/au-bon-pain-11/","$","green","  "
"Au Bon Pain","1360 Massachussetts Ave",42.372953,-71.118635,"/restaurants/au-bon-pain-18/","$","green","  gluten-free"
"Au Bon Pain","1 International Pl",42.357244,-71.056223,"/restaurants/au-bon-pain-9/","$","green","  gluten-free"
"Au Bon Pain (Harvard Vanguard)","300 Longwood Ave",42.337369,-71.10535,"/restaurants/au-bon-pain-harvard-vanguard/","$","green","  gluten-free"
"Au Bon Pain (Kiosk #1)","53 State St",42.358736,-71.056232,"/restaurants/au-bon-pain-kiosk/","$","green","  gluten-free"
"Au Bon Pain (Kiosk #2)","53 State St",42.358897,-71.056652,"/restaurants/au-bon-pain-10/","$","green","  gluten-free"
"Au Bon Pain (Kiosk)","1 Design Center Pl",42.3439,-71.034298,"/restaurants/au-bon-pain-kiosk-2/","$","green","  gluten-free"
"Au Bon Pain (Milk Bottle)","300 Congress St",42.352541,-71.052268,"/restaurants/au-bon-pain-milk-bottle/","$","green","  gluten-free"
"Au Bon Pain (Terminal A)","1 Harborside Dr",42.363179,-71.024374,"/restaurants/au-bon-pain-terminal-a/","$","green","  gluten-free"
"Au Bon Pain (Terminal B)","1 Harborside Dr",42.365613,-71.00956,"/restaurants/au-bon-pain-terminal-b/","$","green","  gluten-free"
"Au Bon Pain (Terminal C Kiosk)","1 Harborside Dr",42.363179,-71.024374,"/restaurants/au-bon-pain-terminal-c-kiosk/","$","green","  gluten-free"
"Au Bon Pain (Terminal C)","1 Harborside Dr",42.365613,-71.00956,"/restaurants/au-bon-pain-terminal-c/","$","green","  gluten-free"
"Audubon","838 Beacon St",42.347459,-71.10323,"/restaurants/audobon/","$$$","yellow","  "
"Aura","1 Seaport Ln",42.349241,-71.041775,"/restaurants/aura/","$$$$$","yellow","  "
"Aurum","377 Centre St",42.322331,-71.109111,"/restaurants/aurum/","$$","green"," vegetarian-friendly "
"Avana Sushi","42 Beach St",42.351107,-71.060986,"/restaurants/avana-sushi/","$$","red","  "
"Avenue One","1 Avenue De Lafayette",42.349089,-71.060177,"/restaurants/avenue-one/","$$$$$","yellow","  "
"Avery Bar","10 Avery St",42.353259,-71.063147,"/restaurants/avery-bar/","$$$$","yellow","  "
"Avery Provision Co.","571 Washington St",42.353548,-71.062553,"/restaurants/avery-provision-co/","$$","green","  "
"Azama Grill","54 Harvard Ave",42.354283,-71.132826,"/restaurants/azama-grill/","$","green","  "
"B&G Oysters","550 Tremont St",42.343997,-71.071695,"/restaurants/b-g-oysters/","$$$$$","yellow","  "
"b.good","655 Boylston St",42.350079,-71.07861,"/restaurants/bgood-8/","$","green","  "
"b.good","255 Washington St",42.357884,-71.058018,"/restaurants/bgood-6/","$","green","  "
"b.good","137 Massachusetts Ave",42.347009,-71.087611,"/restaurants/bgood-5/","$","green","  "
"b.good","131 Dartmouth St",42.347607,-71.07625,"/restaurants/bgood/","$","green","  "
"b.good","24 Dunster St",42.372649,-71.119285,"/restaurants/bgood-2/","$","green","  "
"b.good","84 Summer St",42.353859,-71.058087,"/restaurants/bgood-7/","$$","green","  "
"Ba Co Banh Mi","1095 Commonwealth Ave",42.352744,-71.125447,"/restaurants/ba-co-banh-mi/","$$","green","  "
"Bab Al-Amoud (CLOSED)","148\u002D150 Western Ave",42.364795,-71.108775,"/restaurants/bab-al-amoud/","$$","yellow","  "
"Bacco","107 Salem St",42.364197,-71.055795,"/restaurants/bacco/","$$$$","yellow","  "
"Back Bay Harry's","142 Berkeley St",42.3489,-71.07209,"/restaurants/back-bay-harrys/","$$$$$","yellow","  "
"Back Bay Sandwich","31 St James Ave",42.350711,-71.071619,"/restaurants/back-bay-sandwich/","$","green","  "
"Back Bay Social Club","867 Boylston St",42.348506,-71.083441,"/restaurants/back-bay-social-club/","$$$$","yellow","  "
"Back Deck Grill","2 West St",42.354366,-71.061704,"/restaurants/back-deck-grill/","$$$$","yellow","  gluten-free"
"backbar","9 Sanborn Ct",42.379646,-71.094879,"/restaurants/backbar/","$$","yellow","  "
"Bagel Rising","736 Commonwealth Ave",42.349697,-71.106596,"/restaurants/bagel-rising-3/","$","yellow","  "
"Bagelsaurus","1796 Massachusetts Ave",42.386029,-71.119558,"/restaurants/bagelsaurus/","$","green","  "
"Bailey & Sage","5 Cambridge Ctr",42.36271,-71.087272,"/restaurants/bailey-sage/","$$","green","vegan vegetarian-friendly "
"Bailey and Sage","103 State St",42.359108,-71.055326,"/restaurants/bailey-and-sage/","$$","green","vegan vegetarian-friendly "
"Baja Betty's Burritos","3 Harvard Sq",42.332947,-71.118896,"/restaurants/baja-bettys-burritos/","$","yellow","  "
"Baja Taco Truck","Location Varies",42.350096,-71.106968,"/restaurants/baja-taco-truck/","$","red","  "
"Bambara Kitchen & Bar","25 Edwin H Land Blvd",42.367231,-71.075275,"/restaurants/bambara/","$$$$$","yellow","  "
"Bamboo","1616 Commonwealth Ave",42.343342,-71.143142,"/restaurants/bamboo/","$$","yellow","  "
"Bangkok Bistro","433 Washington St",42.34929,-71.156815,"/restaurants/bangkok-bistro-2/","$$","red","  "
"Bangkok Blue","651 Boylston St",42.349882,-71.078383,"/restaurants/bangkok-blue/","$$","yellow","  "
"Bangkok Express","1 Faneuil Hall Marketplace",42.360455,-71.054474,"/restaurants/bangkok-express/","$$","red","  "
"Banh Mi House","48 Winter St",42.356081,-71.061843,"/restaurants/banh-mi-house/","$","green","  "
"Bao Nation","575 Massachusetts Ave",42.365013,-71.102406,"/restaurants/bao-nation/","$","green","  "
"Bar 10 (Bar Ten)","10 Huntington Ave",42.348768,-71.077631,"/restaurants/bar-10/","$$$$","yellow","  "
"Bar Boulud","776 Boylston St",42.348498,-71.082368,"/restaurants/bar-boulud/","$$$$$","yellow","  "
"Bar Lola","160 Commonwealth Ave",42.351627,-71.078502,"/restaurants/bar-lola/","$$","red","  "
"Bar Louie","121 Brookline Ave",42.345921,-71.100648,"/restaurants/bar-louie/","$$","yellow","  "
"Baraka Cafe","80 1/2 Pearl St",42.362922,-71.104734,"/restaurants/baraka-cafe/","$$$","yellow","  "
"Barcelona Wine Bar","1700 Beacon St",42.338827,-71.138816,"/restaurants/barcelona-wine-bar/","$$","yellow","  "
"Barking Crab","88 Sleeper St",42.353772,-71.048742,"/restaurants/barking-crab/","$$$$","yellow","  "
"Barlow's","241 A Street",42.347015,-71.051263,"/restaurants/barlows/","$$$","yellow","  gluten-free"
"Barney Fanning's","99 Broad St",42.357358,-71.052637,"/restaurants/barney-fannings/","$$","yellow","  "
"Barracuda Tavern","15 Bosworth St",42.357279,-71.061038,"/restaurants/barracuda-tavern/","$$$","red","  "
"Barrington Coffee","346 Congress St",42.350824,-71.048843,"/restaurants/barrington-coffee/","$","red","  "
"Baseball Tavern","1270 Boylston St",42.345116,-71.095882,"/restaurants/baseball-tavern/","$$","yellow","  "
"Basha Cafe (CLOSED)","26 New St",42.387981,-71.140589,"/restaurants/basha-cafe-2/","$$$","yellow","  "
"Basho","1338 Boylston St",42.344159,-71.099561,"/restaurants/basho/","$$$$","red","  "
"Basil Rice","479 Harvard St",42.347266,-71.128404,"/restaurants/basil-rice/","$$","yellow","  "
"Basta Pasta","319 Western Ave",42.364587,-71.113376,"/restaurants/basta-pasta/","$$","yellow","  "
"Bastille Kitchen","49 Melcher St",42.34943,-71.050165,"/restaurants/bastille-kitchen/","$$$$$","yellow","  "
"Battery Park","33 Batterymarch St",42.357585,-71.054541,"/restaurants/battery-park/","$$$","red","  "
"Beacon Hill Bistro","25 Charles St",42.356912,-71.070151,"/restaurants/beacon-hill-bistro/","$$$$$","yellow","  "
"Beacon Hill Chocolates","91 Charles St",42.358827,-71.071062,"/restaurants/beacon-hill-chocolates/","$$$","yellow","  "
"Beacon Street Pizza","147 Beacon St",42.378948,-71.106736,"/restaurants/beacon-street-pizza/","$$","red","  "
"Bean & Leaf Cafe","20 Custom House St",42.358138,-71.053362,"/restaurants/bean-leaf-cafe/","$$","green","  "
"BeanTown Hoagie","102 Water St",42.357798,-71.055366,"/restaurants/beantown-hoagie/","$","green","  "
"Beantown Pho & Grill","272 Newbury St",42.349333,-71.083128,"/restaurants/beantown-pho-grill/","$$$","red","  "
"Beantown Pub","100 Tremont St",42.358138,-71.060726,"/restaurants/beantown-pub/","$$","yellow","  "
"Beantown Taqueria","245 Massachusetts Ave",42.361649,-71.097352,"/restaurants/beantown-taqueria/","$","yellow","  "
"Beantown Taqueria","148 Western Ave",42.364788,-71.108773,"/restaurants/beantown-taqueria-2/","$","yellow","  "
"Beantowne Coffee House","1 Kendall Sq",42.365422,-71.090951,"/restaurants/beantowne-coffee-house/","$","green","  "
"Beat Hotel","13 Brattle St",42.373347,-71.120084,"/restaurants/beat-hotel/","$$$$$","yellow","  "
"Beauty's","228A Broadway",42.366506,-71.094315,"/restaurants/beautys/","$$","yellow","  "
"Beehive","541 Tremont St",42.344547,-71.070886,"/restaurants/beehive/","$$$$","red","  "
"Bees Knees Supply Co.","12 Farnsworth St",42.351172,-71.048732,"/restaurants/bees-knees-supply-co/","$$","green","  "
"Beijing Cafe","728 Commonwealth Ave",42.349697,-71.106596,"/restaurants/beijing-cafe/","$$","red","  "
"Beijing Kyoto","112 South St",42.351002,-71.057693,"/restaurants/beijing-kyoto/","$$","red","  "
"Beijing Tokyo","781 Main St",42.363297,-71.096996,"/restaurants/beijing-tokyo/","$$","red","  "
"Bel Ari","107 South St",42.351457,-71.057515,"/restaurants/bel-ari/","$$$$","yellow","  "
"Bella Luna","284 Amory St",42.314768,-71.10449,"/restaurants/bella-luna/","$$$","yellow","  "
"Bella Vista","288 Hanover St",42.364016,-71.05445,"/restaurants/bella-vista/","$$$","yellow","  "
"Belly Wine Bar","1 Kendall Sq",42.366519,-71.090469,"/restaurants/belly-wine-bar/","$$$$","yellow","  "
"Ben & Jerry's","174 Newbury St",42.350546,-71.07924,"/restaurants/ben-jerrys/","$","red","  gluten-free"
"Ben & Jerry's","800 Boylston St",42.348656,-71.082637,"/restaurants/ben-jerrys-3/","$","red","  gluten-free"
"Ben & Jerry's","1 Central Wharf",42.358986,-71.050617,"/restaurants/ben-jerrys-6/","$","red","  gluten-free"
"Ben & Jerry's","20 Park Plaza",42.351511,-71.068703,"/restaurants/ben-jerrys-5/","$","red","  gluten-free"
"Ben & Jerry's","600 D St",42.348552,-71.039769,"/restaurants/ben-jerrys-4/","$","red","  gluten-free"
"Ben & Jerry's","36 JFK St",42.372632,-71.119869,"/restaurants/ben-jerrys-2/","$","red","  gluten-free"
"Ben and Jerry's Cambridge","36 JFK STREET",42.37265,-71.119733,"/restaurants/ben-and-jerrys-cambridge/","$","yellow","  "
"Benevento's","111 Salem St",42.36433,-71.055795,"/restaurants/beneventos/","$$$","red","  "
"Benny's Crepe Cafe","Location Varies",42.361311,-71.048291,"/restaurants/bennys-crepe-cafe/","$","yellow","  "
"Bergamot","118 Beacon St",42.377921,-71.105979,"/restaurants/bergamot/","$$$$$","yellow","  "
"Berkeley Perk Cafe","69 Berkeley St",42.346815,-71.070548,"/restaurants/berkeley-perk-cafe/","$","yellow","  "
"Berkshire's","1 Hotel Dr",42.366447,-71.024379,"/restaurants/berkshires/","$$$","yellow","  "
"Bernard's","55 Boylston St",42.326237,-71.142633,"/restaurants/bernards/","$$$$","red","  "
"BerryLine","1668 Massachusetts Ave",42.382063,-71.11973,"/restaurants/berryline-2/","$","red","  "
"BerryLine","1377 Boylston St",42.343925,-71.100564,"/restaurants/berryline-3/","$","red","  "
"BerryLine","1 Arrow St",42.370996,-71.114196,"/restaurants/berryline/","$","red","  "
"Bertucci's","799 Main St",42.363297,-71.097446,"/restaurants/bertuccis--3/","$$","red","  gluten-free"
"Bertucci's","533 Commonwealth Ave",42.349031,-71.096286,"/restaurants/bertuccis-2/","$$","red","  gluten-free"
"Bertucci's","1 Blackfan Cir",42.337797,-71.105396,"/restaurants/bertuccis-3/","$$","red","  gluten-free"
"Bertucci's","22 Merchants Row",42.359517,-71.055867,"/restaurants/bertuccis/","$$","red","  "
"Between Hours","154 Harvard Ave",42.352294,-71.131907,"/restaurants/between-hours/","$","red","  "
"bibim","166 Harvard Ave",42.352285,-71.131905,"/restaurants/bibim/","$$$","red","  "
"Biddy Early's","141 Pearl St",42.354969,-71.053953,"/restaurants/biddy-earlys/","$","yellow","  "
"Big Daddy's","436 Western Ave",42.362363,-71.141797,"/restaurants/big-daddys/","$$","yellow","  "
